option,initial_price,close_price,gain_loss
AAPL Jul 02 137.0 Call,0.33,0.64,0.31
MU Jul 02 81.0 Call,1,0.34,-0.66
AMC Jul 02 60.0 Call,0.71,0.23,-0.48
