option,initial_price
AMC Jul 23 45.0 Call,3.53
AAPL Jul 23 146.0 Call,0.95
NVDA Jul 23 200.0 Call,0.65
BA Jul 23 225.0 Call,1.85
GPS Jul 23 27.5 Put,0.03
