option,initial_price
AAPL Jun 11 128.0 Call,0.84
FB Jun 11 340.0 Call,1.51
PLTR Jun 11 25.0 Call,0.48
NIO Jun 11 45.0 Call,0.87
F Jun 11 16.0 Call,0.18
