option,initial_price,close_price,gain_loss
AAPL Jul 02 135.0 Call,1.14,0.96,-0.18
TSLA Jul 02 700.0 Call,12.25,11.15,-1.1
BABA Jul 02 230.0 Call,2.9,2.7,-0.2
NVDA Jul 02 800.0 Call,10.39,13,2.61
NIO Jul 02 48.0 Call,1.36,2.2,0.84
WISH Jul 02 15.0 Call,1.04,0.8,-0.24
AMC Jul 02 60.0 Call,2.78,3,0.22
