option,initial_price,close_price,gain_loss
AAPL Jun 18 130.0 Call,1.3,0.95,-0.35
C Jun 18 71.5 Call,0.62,0.78,0.16
GM Jun 18 63.0 Call,0.34,0.24,-0.1
TSLA Jun 18 600.0 Call,10.9,11.24,0.34
