option,initial_price
AAPL Jul 16 145.0 Call,1.77
SPCE Jul 16 70.0 Call,2.65
DIA Jul 16 347.0 Call,2.9
F Jul 16 15.0 Call,0.14
QQQ Jul 16 355.0 Put,2.15
