option,initial_price
TSLA Jul 02 700.0 Call,14.3
AAPL Jul 02 134.0 Call,1.1
AMD Jul 02 87.0 Call,0.82
NKE Jul 02 160.0 Call,0.67
SNAP Jul 02 64.5 Put,0.75
QQQ Jul 02 335.0 Put,0.41
