option,initial_price
AMD Jul 02 95.0 Call,0.76
NIO Jul 02 52.0 Call,2
AAPL Jul 02 137.0 Call,0.71
TSLA Jul 02 680.0 Call,16.08
PLUG Jul 02 36.0 Call,0.4
BBBY Jul 02 40.0 Call,1.07
