option,initial_price
AAPL Jul 23 150.0 Call,1.47
MSFT Jul 23 285.0 Call,1.40
FB Jul 23 350.0 Call,1.46
MRNA Jul 23 300.0 Call,8.28
SPXW Jul 23 4300.0 Put,13.73
SNAP Jul 23 61.0 Put,4.13
